Date,Portfolio Value
2022-01-01,1000000.00
2022-01-02,1000000.00
2022-01-03,1000000.00
2022-01-04,1000000.00
2022-01-05,1005275.06
2022-01-06,1005195.18
2022-01-07,1007854.94
2022-01-08,1007613.50
2022-01-09,1007613.50
2022-01-10,1007613.50
2022-01-11,1005312.97
2022-01-12,1009941.04
2022-01-13,1011574.86
2022-01-14,1008628.40
2022-01-15,1012728.50
2022-01-16,1012728.50
2022-01-17,1012728.50
2022-01-18,1012728.50
2022-01-19,1015580.80
2022-01-20,1019781.54
2022-01-21,1019796.14
2022-01-22,1018433.48
2022-01-23,1018433.48
2022-01-24,1018433.48
2022-01-25,1016824.86
2022-01-26,1019830.13
2022-01-27,1023520.88
2022-01-28,1022204.52
2022-01-29,1024487.10
2022-01-30,1024487.10
2022-01-31,1024487.10
2022-02-01,1024439.94
2022-02-02,1026142.58
2022-02-03,1023968.33
2022-02-04,1025556.32
2022-02-05,1028916.74
2022-02-06,1028916.74
2022-02-07,1028916.74
2022-02-08,1030444.23
2022-02-09,1027362.79
2022-02-10,1030439.19
2022-02-11,1029818.04
2022-02-12,1035725.78
2022-02-13,1035725.78
2022-02-14,1035725.78
2022-02-15,1039585.09
2022-02-16,1032155.18
2022-02-17,1035847.97
2022-02-18,1033994.27
2022-02-19,1033875.49
2022-02-20,1033875.49
2022-02-21,1033875.49
2022-02-22,1033875.49
2022-02-23,1039225.64
2022-02-24,1040488.14
2022-02-25,1043351.00
2022-02-26,1035714.02
2022-02-27,1035714.02
2022-02-28,1035714.02
2022-03-01,1047851.99
2022-03-02,1064696.93
2022-03-03,1073029.37
2022-03-04,1071804.18
2022-03-05,1081767.30
2022-03-06,1081767.30
2022-03-07,1081767.30
2022-03-08,1084558.51
2022-03-09,1089888.15
2022-03-10,1071580.65
2022-03-11,1072339.47
2022-03-12,1077249.28
2022-03-13,1077249.28
2022-03-14,1077249.28
2022-03-15,1064296.71
2022-03-16,1061512.36
2022-03-17,1055272.56
2022-03-18,1069382.98
2022-03-19,1069370.14
2022-03-20,1069370.14
2022-03-21,1069370.14
2022-03-22,1080407.29
2022-03-23,1079481.18
2022-03-24,1083751.94
2022-03-25,1079414.00
2022-03-26,1082069.89
2022-03-27,1082069.89
2022-03-28,1082069.89
2022-03-29,1072552.99
2022-03-30,1066937.92
2022-03-31,1073085.19
2022-04-01,1066296.71
2022-04-02,1062842.05
2022-04-03,1062842.05
2022-04-04,1062842.05
2022-04-05,1070303.79
2022-04-06,1070239.41
2022-04-07,1062849.14
2022-04-08,1062796.74
2022-04-09,1067375.46
2022-04-10,1067375.46
2022-04-11,1067375.46
2022-04-12,1061777.19
2022-04-13,1071748.35
2022-04-14,1077328.65
2022-04-15,1081577.09
2022-04-16,1081577.09
2022-04-17,1081577.09
2022-04-18,1081577.09
2022-04-19,1086620.40
2022-04-20,1078733.84
2022-04-21,1080759.98
2022-04-22,1079518.56
2022-04-23,1076512.70
2022-04-24,1076512.70
2022-04-25,1076512.70
2022-04-26,1073382.80
2022-04-27,1077772.83
2022-04-28,1080034.60
2022-04-29,1084148.17
2022-04-30,1083700.67
2022-05-01,1083700.67
2022-05-02,1083700.67
2022-05-03,1083475.76
2022-05-04,1078365.24
2022-05-05,1084517.18
2022-05-06,1085847.99
2022-05-07,1085807.44
2022-05-08,1085807.44
2022-05-09,1085807.44
2022-05-10,1077050.04
2022-05-11,1073386.03
2022-05-12,1083139.83
2022-05-13,1085364.14
2022-05-14,1087568.63
2022-05-15,1087568.63
2022-05-16,1087568.63
2022-05-17,1094078.66
2022-05-18,1090761.97
2022-05-19,1084661.92
2022-05-20,1087901.65
2022-05-21,1088320.81
2022-05-22,1088320.81
2022-05-23,1088320.81
2022-05-24,1086285.19
2022-05-25,1083423.68
2022-05-26,1084134.81
2022-05-27,1087197.28
2022-05-28,1090249.01
2022-05-29,1090249.01
2022-05-30,1090249.01
2022-05-31,1090249.01
2022-06-01,1086016.21
2022-06-02,1083005.59
2022-06-03,1084564.12
2022-06-04,1086134.87
2022-06-05,1086134.87
2022-06-06,1086134.87
2022-06-07,1088383.59
2022-06-08,1091759.68
2022-06-09,1095808.48
2022-06-10,1096578.98
2022-06-11,1095753.44
2022-06-12,1095753.44
2022-06-13,1095753.44
2022-06-14,1095379.06
2022-06-15,1093147.06
2022-06-16,1090277.55
2022-06-17,1095019.95
2022-06-18,1085883.53
2022-06-19,1085883.53
2022-06-20,1085883.53
2022-06-21,1085883.53
2022-06-22,1083364.92
2022-06-23,1079553.14
2022-06-24,1073924.01
2022-06-25,1078440.97
2022-06-26,1078440.97
2022-06-27,1078440.97
2022-06-28,1079689.72
2022-06-29,1084671.91
2022-06-30,1084228.34
2022-07-01,1075453.78
2022-07-02,1080330.07
2022-07-03,1080330.07
2022-07-04,1080330.07
2022-07-05,1080330.07
2022-07-06,1067152.23
2022-07-07,1067325.23
2022-07-08,1072968.88
2022-07-09,1080551.46
2022-07-10,1080551.46
2022-07-11,1080551.46
2022-07-12,1080200.85
2022-07-13,1062753.35
2022-07-14,1064532.43
2022-07-15,1056495.67
2022-07-16,1043076.51
2022-07-17,1043076.51
2022-07-18,1043076.51
2022-07-19,1050769.73
2022-07-20,1049627.13
2022-07-21,1046466.67
