Date,Portfolio Value
2022-01-01,1000000.0
2022-01-02,1000000.0
2022-01-03,1000000.0
2022-01-04,1000000.0
2022-01-05,1005275.0640411377
2022-01-06,1005195.1849517822
2022-01-07,1007854.9358520508
2022-01-08,1007613.4993896484
2022-01-09,1007613.4993896484
2022-01-10,1007613.4993896484
2022-01-11,1005312.9720611572
2022-01-12,1009941.0389251709
2022-01-13,1011574.8563232422
2022-01-14,1008628.4010162354
2022-01-15,1012728.4967346191
2022-01-16,1012728.4967346191
2022-01-17,1012728.4967346191
2022-01-18,1012728.4967346191
2022-01-19,1015580.7975769043
2022-01-20,1019781.5359191895
2022-01-21,1019796.1391906738
2022-01-22,1018433.4763259888
2022-01-23,1018433.4763259888
2022-01-24,1018433.4763259888
2022-01-25,1016824.863822937
2022-01-26,1019830.1250991821
2022-01-27,1023520.8750991821
2022-01-28,1022204.5179595947
2022-01-29,1024487.0967254639
2022-01-30,1024487.0967254639
2022-01-31,1024487.0967254639
2022-02-01,1024439.9391937256
2022-02-02,1026142.583114624
2022-02-03,1023968.3300094604
2022-02-04,1025556.3227310181
2022-02-05,1028916.7439193726
2022-02-06,1028916.7439193726
2022-02-07,1028916.7439193726
2022-02-08,1030444.226638794
2022-02-09,1027362.7878189087
2022-02-10,1030439.1918258667
2022-02-11,1029818.0434112549
2022-02-12,1035725.7750091553
2022-02-13,1035725.7750091553
2022-02-14,1035725.7750091553
2022-02-15,1039585.0857849121
2022-02-16,1032155.1765441895
2022-02-17,1035847.9716262817
2022-02-18,1033994.2696990967
2022-02-19,1033875.4865570068
2022-02-20,1033875.4865570068
2022-02-21,1033875.4865570068
2022-02-22,1033875.4865570068
2022-02-23,1039225.6449737549
2022-02-24,1040488.1449737549
2022-02-25,1043351.0037918091
2022-02-26,1035714.0222244263
2022-02-27,1035714.0222244263
2022-02-28,1035714.0222244263
2022-03-01,1047851.98853302
2022-03-02,1064696.9315872192
2022-03-03,1073029.365486145
2022-03-04,1071804.1751480103
2022-03-05,1081767.2975769043
